MUTTER,"Frau mit Kindern"
KASKADE,"Wasser fällt"
KATARAKT,"Wasserfall Fluss"
RAPIDS,"schnell fließt"
BRUCH,"sumpfig Land"
DSCHUNGEL,"dicht feucht"
DICKICHT,"Sträucher eng"
GEBÜSCH,"Sträucher wachsen"
HECKE,"Strauchgrenze"
VEGETATION,"Pflanzen Bestand"
FLORA,"Pflanzenwelt"
FAUNA,"Tierwelt"
OKOSYSTEM,"Natur Kreislauf"
BIOSPHAERE,"Leben Bereich"
HABITITAT,"Tier wohnt"
BERUF,"Tägliche Arbeit verdient Geld"
CHEF,"Leitet Team und Mitarbeiter"
DIREKTOR,"Steht an Spitze Institution"
ENGPASS,"Blockiert Arbeitsfluss Projekt"
INGENIEUR,"Plant Brücken und Maschinen"
KAUFMANN,"Verkauft Waren gewinnbringend"
LEHRERIN,"Unterrichtet Schüler im Klassenzimmer"
NAEHER,"Näht Kleidung zusammen geschickt"
OBERMEISTER,"Höchster Rang im Handwerk"
SACHBEARBEITER,"Bearbeitet Akten systematisch Büro"
TAETIGKEIT,"Regelmäßige berufliche Aufgabe erfüllen"
VERKEHRSPOLIZIST,"Regelt Verkehr an Straße"
WERKER,"Arbeitet handwerklich produktiv fabrik"
ANGESTELLTE,"Verdient Lohn monatlich arbeitet"
BAKKALAUREUS,"Akademischer Abschluss Universität erreicht"
DOKTOR,"Trägt höchster Akademischer Titel"
FACHMANN,"Kennt Branche sehr gut"
GARNER,"Sammelt Feldfrüchte systematisch"
HANDSCHRIFT,"Persönliche Unterschrift dokumentiert Vereinbarung"
INFORMATIONEN,"Daten Nachricht Fakten mitteilen"
JAEGER,"Jagt Wild beruflich Wald"
KANZLER,"Leitet Regierungsbüro höchste Ebene"
KULTURFACHMANN,"Experte kunsthistorische Werke bewertung"
LABORANT,"Analysiert Stoffe chemische Tests"
MINISTERIN,"Leitet Regierungsbereich politisch"
NEULING,"Anfänger berufliche Tätigkeit startet"
ORGANISER,"Plant Veranstaltung strukturiert Detail"
PAEDAGOGE,"Vermittelt Bildung methodisch Schüler"
QUALIFIKATION,"Befähigung bestimmte Aufgabe erfüllen"
REVISOR,"Prüft Bücher und Konten"
SACHGEBIET,"Spezialisierte Arbeitsbereich Fachwissen"
UNIVERSITAET,"Höchste Bildungseinrichtung akademische Grade"
VERTRAGSWERK,"Bindende Vereinbarung zwei Parteien"
WERKSTATT,"Ort handwerkliche Tätigkeiten entstehen"
ZAHNMEISTER,"Expertenschaft Zahnheilkunde praktiziert"
AGENT,"Vertritt Person Interessen Geschaefte"
BLUMENBINDERIN,"Arrangiert Sträuße Blüten künstlerisch"
CRANBERRY,"Berufliches Netzwerk Kontakte Beziehungen"
DESIGNERIN,"Gestaltet Objekte ästhetisch funktional"
FLORISTIN,"Bindet Blumensträuße Geschäft verkauft"
GROBSCHMIED,"Arbeitet Metall groß robust"
HANDELSMANN,"Handelt Waren kommerziell gewinnorientiert"
INSTALLATEUR,"Montiert Rohre Heizung Wasser"
BAUER,"Feld bearbeiten Ernte"
FOTOGRAFIN,"Bilder mit Kamera machen"
MUSIKERIN,"Instrumente spielen Melodien"
GASSE,"enge Wohnstrasse"
GEBAEUDE,"Hochhaus oder Villa"
TRAM,"öffentlich fahren elektrisch"
VERKEHR,"Autos und Menschen bewegen sich"
AUTOBAHNAUSFAHRT,"schnell verlassen können"
SOL,"Energiequelle am Himmel"
OEKO,"Natur und Wirtschaft verbinden"
FLUGZEUG,"Befoerderungsmittel ueber Wolken"
ABREISE,"Aufbruch zum neuen Ort"
ZAHN,"Weisser Teil im Mund zum Kauen"
PREIS,"Geldbetrag für Ware"
